state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
NY,17,0.14706331009436951,1220000,$15.50,May 2024 through April 2025,5645
OH,17,0.2102754335028202,1074000,$10.70,May 2024 through April 2025,5268
OK,17,0.31340421486155806,530000,$7.25,May 2024 through April 2025,2975
OR,17,0.12446170132563456,226000,$14.70,May 2024 through April 2025,3535
PA,17,0.19916273922229008,1117000,$7.25,May 2024 through April 2025,5224
RI,17,0.16598563315617898,82000,$15.00,May 2024 through April 2025,1730
SC,17,0.25451311460453013,561000,$7.25,May 2024 through April 2025,2875
SD,17,0.17636816199359848,76000,$11.50,May 2024 through April 2025,2568
TN,17,0.23007755621335949,688000,$7.25,May 2024 through April 2025,3312
TX,17,0.2713819164327142,3614000,$7.25,May 2024 through April 2025,12063
UT,17,0.21459529328482563,336000,$7.25,May 2024 through April 2025,3979
VA,17,0.17856187901949502,692000,$12.41,May 2024 through April 2025,3598
VT,17,0.12095689242895405,36000,$14.01,May 2024 through April 2025,2520
WA,17,NA,NA,$16.66,May 2024 through April 2025,NA
WI,17,0.18201439480999865,507000,$7.25,May 2024 through April 2025,3757
WV,17,0.3151669664928183,217000,$8.75,May 2024 through April 2025,3141
WY,17,0.2466211424138069,60000,$7.25,May 2024 through April 2025,2710
